Wave	PROMISSAO_Agua_1_vs_Agua_1	PROMISSAO_Amostra_P03_vs_Agua_1	PROMISSAO_Amostra_P19_vs_Agua_1	PROMISSAO_Amostra_P18_vs_Agua_1	PROMISSAO_Amostra_P11_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1.1	PROMISSAO_Agua_2_vs_Agua_1	PROMISSAO_Amostra_P13_vs_Agua_1A	PROMISSAO_Amostra_P12_vs_Agua_1A	PROMISSAO_Amostra_P01_vs_Agua_1A	PROMISSAO_Amostra_P07_vs_Agua_1A	PROMISSAO_Amostra_P22_vs_Agua_1A	PROMISSAO_Amostra_P08_vs_Agua_1A	PROMISSAO_Agua_5_vs_Agua_4
220	-9.8e-05	2.165474	2.157817	2.023725	2.102954	1.642552	1.642552	0.00179375	1.832776	1.804306	2.00007	2.020448	2.008701	2.010821	0.000371667
221	-0.000113	2.103209	2.099151	1.971354	2.044783	1.616713	1.616713	0.0017695	1.80323	1.765268	1.948619	1.972147	1.958369	1.962655	0.000347667
222	-8.6e-05	2.013375	2.013923	1.895667	1.960928	1.578934	1.578934	0.00175225	1.760157	1.708507	1.873762	1.901533	1.885059	1.892692	0.00033
223	-0.000105	1.928844	1.933668	1.824765	1.88269	1.542907	1.542907	0.001668	1.71911	1.655032	1.803378	1.835113	1.816281	1.827056	0.000315667
224	-5.8e-05	1.847932	1.856745	1.756655	1.808386	1.507952	1.507952	0.00165625	1.67866	1.604069	1.736295	1.771536	1.750572	1.764386	0.000296
225	-9.9e-05	1.771404	1.784003	1.691869	1.738312	1.474182	1.474182	0.00158525	1.638912	1.555841	1.673083	1.711823	1.688429	1.704717	0.000273667
226	-0.0001	1.700789	1.716903	1.631486	1.673534	1.441977	1.441977	0.00158525	1.600091	1.510575	1.613944	1.655788	1.63006	1.648773	0.000279
227	-0.000145	1.635282	1.654226	1.574899	1.612726	1.410989	1.410989	0.0015325	1.562025	1.46768	1.558408	1.602958	1.575162	1.595816	0.000256333
228	-0.000115	1.574572	1.596236	1.522155	1.555993	1.381382	1.381382	0.00151425	1.524654	1.427245	1.506446	1.553469	1.524119	1.546425	0.000226
229	-0.000111	1.518934	1.542977	1.473422	1.503791	1.353141	1.353141	0.001483	1.488223	1.389452	1.458102	1.507338	1.476955	1.500396	0.000225333
230	-0.000122	1.467296	1.493834	1.428298	1.455674	1.325756	1.325756	0.0014215	1.452653	1.353931	1.412701	1.464093	1.432985	1.457365	0.00027
231	-0.000105	1.419085	1.448171	1.386321	1.411214	1.299088	1.299088	0.00139575	1.417966	1.320215	1.369979	1.422912	1.391326	1.416871	0.000265333
232	-0.000111	1.373826	1.40523	1.346948	1.369659	1.273099	1.273099	0.00134825	1.383937	1.288342	1.329852	1.384083	1.352209	1.378837	0.000226333
